Nr,Tweets,bow
526,['carti'],"[(203, 1)]"
527,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
528,"['gatorade', 'thirst', 'quencher']","[(334, 1), (335, 1), (336, 1)]"
529,"['cruz', 'attorney', 'barr']","[(337, 1), (338, 1), (339, 1)]"
531,"['wave', 'time']","[(76, 1), (77, 1)]"
535,"['lifelong', 'longhorn', 'aggies', 'aggies']","[(340, 2), (341, 1), (342, 1)]"
537,"['happy', 'birthday', 'free', 'love']","[(44, 1), (45, 1), (302, 1), (343, 1)]"
538,"['lmaoo', 'cultural', 'outfit', 'shirt']","[(344, 1), (345, 1), (346, 1), (347, 1)]"
539,"['alyssa', 'milano', 'tweets', 'evil', 'witch', 'animal', 'lover']","[(348, 1), (349, 1), (350, 1), (351, 1), (352, 1), (353, 1), (354, 1)]"
540,"['michael', 'jordan', 'lebron', 'space']","[(200, 1), (355, 1), (356, 1), (357, 1)]"
541,['alejandroelmex'],"[(358, 1)]"
543,"['vxnsmoke', 'shut']","[(359, 1), (360, 1)]"
545,"['justinreid', 'bruh']","[(292, 1), (294, 1)]"
547,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
548,['aiokona'],"[(295, 1)]"
549,['fina'],"[(361, 1)]"
552,"['urgent', 'message', 'barnier', 'independence']","[(362, 1), (363, 1), (364, 1), (365, 1)]"
553,['demiaa'],"[(296, 1)]"
555,"['midlife', 'crisis']","[(297, 1), (298, 1)]"
556,['tommey'],"[(299, 1)]"
557,['russian'],"[(300, 1)]"
559,"['astasiawill', 'love']","[(301, 1), (302, 1)]"
560,"['billion', 'cancer', 'victims', 'baby', 'powder', 'product']","[(196, 1), (303, 1), (304, 1), (305, 1), (306, 1), (307, 1)]"
562,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
564,"['carver', 'school', 'tommy', 'tune', 'awards', 'event', 'april', 'theater', 'stars', 'faceb']","[(165, 1), (308, 1), (309, 1), (310, 1), (311, 1), (312, 1), (313, 1), (314, 1), (315, 1), (316, 1)]"
567,"['covid', 'outbreak', 'delay', 'audits', 'potato', 'certification', 'potatosecurity']","[(366, 1), (367, 1), (368, 1), (369, 1), (370, 1), (371, 1), (372, 1)]"
569,"['heart', 'disease']","[(373, 1), (374, 1)]"
571,"['treysotrigga', 'opinion', 'opinion', 'anthony', 'trollope']","[(317, 1), (318, 2), (319, 1), (320, 1)]"
572,['time'],"[(76, 1)]"
573,"['lita', 'lita', 'woman']","[(321, 2), (322, 1)]"
574,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
576,['bhool'],"[(323, 1)]"
577,"['trust', 'doubt']","[(324, 1), (325, 1)]"
578,['comey'],"[(326, 1)]"
580,"['page', 'paper']","[(173, 1), (174, 1)]"
581,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
584,['college'],"[(270, 1)]"
586,"['girls', 'story']","[(28, 1), (29, 1)]"
587,['honor'],"[(375, 1)]"
588,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
590,"['china', 'world', 'health', 'organization', 'advi']","[(5, 1), (208, 1), (376, 1), (377, 1), (378, 1)]"
591,['advyyth'],"[(379, 1)]"
592,"['expensive', 'logitechg', 'speaker', 'blast']","[(380, 1), (381, 1), (382, 1), (383, 1)]"
596,"['christopher', 'wray']","[(384, 1), (385, 1)]"
597,['daddy'],"[(386, 1)]"
598,"['walkaway', 'maga']","[(92, 1), (93, 1)]"
600,['link'],"[(387, 1)]"
601,"['reclaim', 'lost', 'habits', 'ones']","[(388, 1), (389, 1), (390, 1), (391, 1)]"
602,"['pete', 'agents', 'draintheswamp']","[(392, 1), (393, 1), (394, 1)]"
604,"['park', 'superior']","[(395, 1), (396, 1)]"
